work,words
urn:cts:greekLit:tlg0014.tlg018,22431
urn:cts:greekLit:tlg0014.tlg019,23064
urn:cts:greekLit:tlg0014.tlg020,11367
urn:cts:greekLit:tlg0014.tlg021,15748
urn:cts:greekLit:tlg0014.tlg022,5634
urn:cts:greekLit:tlg0014.tlg023,15419
urn:cts:greekLit:tlg0014.tlg024,14667
urn:cts:greekLit:tlg0014.tlg025,6722
urn:cts:greekLit:tlg0014.tlg026,1686
urn:cts:greekLit:tlg0014.tlg027,4575
urn:cts:greekLit:tlg0014.tlg028,1516
urn:cts:greekLit:tlg0014.tlg029,3908
urn:cts:greekLit:tlg0014.tlg030,2360
urn:cts:greekLit:tlg0014.tlg031,951
urn:cts:greekLit:tlg0014.tlg032,1913
urn:cts:greekLit:tlg0014.tlg033,2553
urn:cts:greekLit:tlg0014.tlg034,3269
urn:cts:greekLit:tlg0014.tlg035,3653
urn:cts:greekLit:tlg0014.tlg036,3972
urn:cts:greekLit:tlg0014.tlg037,3787
urn:cts:greekLit:tlg0014.tlg038,1852
urn:cts:greekLit:tlg0014.tlg039,2747
urn:cts:greekLit:tlg0014.tlg040,3914
urn:cts:greekLit:tlg0014.tlg041,1967
urn:cts:greekLit:tlg0014.tlg042,2242
urn:cts:greekLit:tlg0014.tlg043,6301
urn:cts:greekLit:tlg0014.tlg044,4217
urn:cts:greekLit:tlg0014.tlg045,5707
urn:cts:greekLit:tlg0014.tlg046,1857
urn:cts:greekLit:tlg0014.tlg047,5397
urn:cts:greekLit:tlg0014.tlg048,3524
urn:cts:greekLit:tlg0014.tlg049,4365
urn:cts:greekLit:tlg0014.tlg050,4618
urn:cts:greekLit:tlg0014.tlg051,1345
urn:cts:greekLit:tlg0014.tlg052,2122
urn:cts:greekLit:tlg0014.tlg053,2015
urn:cts:greekLit:tlg0014.tlg054,3190
urn:cts:greekLit:tlg0014.tlg055,2119
urn:cts:greekLit:tlg0014.tlg056,3309
urn:cts:greekLit:tlg0014.tlg057,4625
urn:cts:greekLit:tlg0014.tlg058,4698
urn:cts:greekLit:tlg0014.tlg059,9231
urn:cts:greekLit:tlg0014.tlg060,2545
urn:cts:greekLit:tlg0014.tlg061,3661
urn:cts:greekLit:tlg0014.tlg062,305
urn:cts:greekLit:tlg0014.tlg063,2544
urn:cts:greekLit:tlg0015.tlg001,7716
urn:cts:greekLit:tlg0016.tlg001,29044
urn:cts:greekLit:tlg0017.tlg001,2716
urn:cts:greekLit:tlg0017.tlg002,2759
urn:cts:greekLit:tlg0017.tlg003,4447
urn:cts:greekLit:tlg0017.tlg004,1804
urn:cts:greekLit:tlg0017.tlg005,3084
urn:cts:greekLit:tlg0017.tlg006,3649
urn:cts:greekLit:tlg0017.tlg007,2802
urn:cts:greekLit:tlg0017.tlg008,3191
urn:cts:greekLit:tlg0017.tlg009,2264
urn:cts:greekLit:tlg0017.tlg010,2037
urn:cts:greekLit:tlg0017.tlg011,3605
urn:cts:greekLit:tlg0017.tlg012,951
urn:cts:greekLit:tlg0018.tlg001,13347
urn:cts:greekLit:tlg0018.tlg002,17774
urn:cts:greekLit:tlg0018.tlg003,7688
urn:cts:greekLit:tlg0018.tlg004,9667
urn:cts:greekLit:tlg0018.tlg005,11464
urn:cts:greekLit:tlg0018.tlg006,11235
urn:cts:greekLit:tlg0018.tlg007,3299
urn:cts:greekLit:tlg0018.tlg008,9077
urn:cts:greekLit:tlg0018.tlg009,9053
urn:cts:greekLit:tlg0018.tlg010,8959
urn:cts:greekLit:tlg0018.tlg011,11627
urn:cts:greekLit:tlg0018.tlg012,3641
urn:cts:greekLit:tlg0018.tlg013,10471
urn:cts:greekLit:tlg0018.tlg014,12882
urn:cts:greekLit:tlg0018.tlg015,16093
urn:cts:greekLit:tlg0018.tlg016,9020
urn:cts:greekLit:tlg0018.tlg017,11168
urn:cts:greekLit:tlg0018.tlg018,13393
urn:cts:greekLit:tlg0018.tlg019,13262
urn:cts:greekLit:tlg0018.tlg020,13399
urn:cts:greekLit:tlg0018.tlg021,12859
urn:cts:greekLit:tlg0019.tlg001,7218
urn:cts:greekLit:tlg0019.tlg002,8931
urn:cts:greekLit:tlg0019.tlg003,9670
urn:cts:greekLit:tlg0019.tlg004,9848
urn:cts:greekLit:tlg0019.tlg005,8046
urn:cts:greekLit:tlg0019.tlg006,10775
urn:cts:greekLit:tlg0019.tlg007,8110
urn:cts:greekLit:tlg0019.tlg008,7274
urn:cts:greekLit:tlg0019.tlg009,9196
urn:cts:greekLit:tlg0019.tlg010,7683
urn:cts:greekLit:tlg0019.tlg011,8133
urn:cts:greekLit:tlg0020.tlg001,7039
urn:cts:greekLit:tlg0020.tlg002,5856
urn:cts:greekLit:tlg0020.tlg003,2832
urn:cts:greekLit:tlg0022.tlg001,6378
urn:cts:greekLit:tlg0022.tlg002,4137
urn:cts:greekLit:tlg0023.tlg001,5247
urn:cts:greekLit:tlg0024.tlg001,3940
urn:cts:greekLit:tlg0026.tlg001,13542
urn:cts:greekLit:tlg0026.tlg002,12325
urn:cts:greekLit:tlg0026.tlg003,18454
urn:cts:greekLit:tlg0026.tlg004,821
urn:cts:greekLit:tlg0027.tlg001,10057
urn:cts:greekLit:tlg0027.tlg002,1955
urn:cts:greekLit:tlg0027.tlg003,2678
urn:cts:greekLit:tlg0027.tlg004,2753
urn:cts:greekLit:tlg0028.tlg001,1756
urn:cts:greekLit:tlg0028.tlg002,756
urn:cts:greekLit:tlg0028.tlg003,781
urn:cts:greekLit:tlg0028.tlg004,614
urn:cts:greekLit:tlg0028.tlg005,6346
urn:cts:greekLit:tlg0028.tlg006,3399
urn:cts:greekLit:tlg0029.tlg004,7510
urn:cts:greekLit:tlg0029.tlg005,1790
urn:cts:greekLit:tlg0029.tlg006,1376
urn:cts:greekLit:tlg0030.tlg001,1391
urn:cts:greekLit:tlg0030.tlg002,917
urn:cts:greekLit:tlg0030.tlg003,2354
urn:cts:greekLit:tlg0030.tlg004,2664
urn:cts:greekLit:tlg0030.tlg005,2128
urn:cts:greekLit:tlg0030.tlg006,2071
urn:cts:greekLit:tlg0031.tlg001,1239
urn:cts:greekLit:tlg0031.tlg002,1198
urn:cts:greekLit:tlg0031.tlg003,1182
urn:cts:greekLit:tlg0031.tlg004,1237
urn:cts:greekLit:tlg0031.tlg005,1112
urn:cts:greekLit:tlg0031.tlg006,655
urn:cts:greekLit:tlg0031.tlg007,840
urn:cts:greekLit:tlg0031.tlg008,499
urn:cts:greekLit:tlg0031.tlg009,455
urn:cts:greekLit:tlg0031.tlg010,482
urn:cts:greekLit:tlg0031.tlg011,503
urn:cts:greekLit:tlg0031.tlg012,542
urn:cts:greekLit:tlg0031.tlg013,389
urn:cts:greekLit:tlg0031.tlg014,314
urn:cts:greekLit:tlg0031.tlg015,345
urn:cts:greekLit:tlg0031.tlg016,359
urn:cts:greekLit:tlg0031.tlg017,250
urn:cts:greekLit:tlg0031.tlg018,334
urn:cts:greekLit:tlg0031.tlg019,634
urn:cts:greekLit:tlg0031.tlg020,412
urn:cts:greekLit:tlg0031.tlg021,400
urn:cts:greekLit:tlg0031.tlg022,384
urn:cts:greekLit:tlg0031.tlg023,584
urn:cts:greekLit:tlg0031.tlg024,245
urn:cts:greekLit:tlg0031.tlg025,219
urn:cts:greekLit:tlg0031.tlg026,456
urn:cts:greekLit:tlg0031.tlg027,622
urn:cts:greekLit:tlg0032.tlg001,11248
urn:cts:greekLit:tlg0032.tlg002,9462
urn:cts:greekLit:tlg0032.tlg003,1831
urn:cts:greekLit:tlg0032.tlg004,3250
urn:cts:greekLit:tlg0032.tlg005,2000
urn:cts:greekLit:tlg0032.tlg006,10996
urn:cts:greekLit:tlg0032.tlg007,13850
urn:cts:greekLit:tlg0032.tlg008,1532
urn:cts:greekLit:tlg0032.tlg009,2035
urn:cts:greekLit:tlg0032.tlg010,701
urn:cts:greekLit:tlg0032.tlg011,2002
urn:cts:greekLit:tlg0032.tlg012,1160
urn:cts:greekLit:tlg0032.tlg013,969
urn:cts:greekLit:tlg0032.tlg014,1427
urn:cts:greekLit:tlg0033.tlg001,729
urn:cts:greekLit:tlg0033.tlg002,2076
urn:cts:greekLit:tlg0033.tlg003,686
urn:cts:greekLit:tlg0033.tlg004,513
urn:cts:greekLit:tlg0034.tlg001,10919
urn:cts:greekLit:tlg0035.tlg001,240
urn:cts:greekLit:tlg0035.tlg002,1132
urn:cts:greekLit:tlg0035.tlg003,898
urn:cts:greekLit:tlg0035.tlg004,888
urn:cts:greekLit:tlg0035.tlg005,108
urn:cts:greekLit:tlg0036.tlg001,717
urn:cts:greekLit:tlg0036.tlg002,226
urn:cts:greekLit:tlg0036.tlg003,119
urn:cts:greekLit:tlg0037.tlg001,1338
urn:cts:greekLit:tlg0039.tlg001,330
urn:cts:greekLit:tlg0041.tlg001,903
urn:cts:greekLit:tlg0044.tlg001,478
urn:cts:greekLit:tlg0045.tlg001,627
urn:cts:greekLit:tlg0046.tlg001,735
urn:cts:greekLit:tlg0048.tlg001,1434
urn:cts:greekLit:tlg0053.tlg001,748
urn:cts:greekLit:tlg0055.tlg001,8557
urn:cts:greekLit:tlg0057.tlg001,5079
urn:cts:greekLit:tlg0057.tlg002,1831
urn:cts:greekLit:tlg0057.tlg003,1387
urn:cts:greekLit:tlg0057.tlg004,6232
urn:cts:greekLit:tlg0057.tlg006,11963
urn:cts:greekLit:tlg0057.tlg007,16152
urn:cts:greekLit:tlg0057.tlg008,11108
urn:cts:greekLit:tlg0057.tlg009,11077
urn:cts:greekLit:tlg0057.tlg010,10922
urn:cts:greekLit:tlg0057.tlg011,11587
urn:cts:greekLit:tlg0057.tlg012,6936
urn:cts:greekLit:tlg0057.tlg013,7548
urn:cts:greekLit:tlg0057.tlg014,3605
urn:cts:greekLit:tlg0057.tlg015,4202
urn:cts:greekLit:tlg0057.tlg016,3264
urn:cts:greekLit:tlg0057.tlg017,15810
urn:cts:greekLit:tlg0057.tlg018,8287
urn:cts:greekLit:tlg0057.tlg019,6503
urn:cts:greekLit:tlg0057.tlg020,6056
urn:cts:greekLit:tlg0057.tlg021,12024
urn:cts:greekLit:tlg0057.tlg022,7721
urn:cts:greekLit:tlg0057.tlg023,4718
urn:cts:greekLit:tlg0057.tlg024,1767
urn:cts:greekLit:tlg0057.tlg025,820
urn:cts:greekLit:tlg0057.tlg027,8376
urn:cts:greekLit:tlg0057.tlg028,8203
urn:cts:greekLit:tlg0057.tlg029,6332
urn:cts:greekLit:tlg0057.tlg030,6264
urn:cts:greekLit:tlg0057.tlg031,4472
urn:cts:greekLit:tlg0057.tlg032,13166
urn:cts:greekLit:tlg0057.tlg033,14023
urn:cts:greekLit:tlg0057.tlg034,1710
urn:cts:greekLit:tlg0057.tlg035,606
urn:cts:greekLit:tlg0057.tlg036,12305
urn:cts:greekLit:tlg0057.tlg037,15849
urn:cts:greekLit:tlg0057.tlg038,10198
urn:cts:greekLit:tlg0057.tlg039,2213
urn:cts:greekLit:tlg0057.tlg040,502
urn:cts:greekLit:tlg0057.tlg041,6651
urn:cts:greekLit:tlg0057.tlg042,6091
urn:cts:greekLit:tlg0057.tlg043,6628
urn:cts:greekLit:tlg0057.tlg044,10520
urn:cts:greekLit:tlg0057.tlg045,11527
urn:cts:greekLit:tlg0057.tlg046,5299
urn:cts:greekLit:tlg0057.tlg047,3541
urn:cts:greekLit:tlg0057.tlg048,1580
urn:cts:greekLit:tlg0057.tlg049,5510
urn:cts:greekLit:tlg0057.tlg050,11088
urn:cts:greekLit:tlg0057.tlg051,9124
urn:cts:greekLit:tlg0057.tlg052,3254
urn:cts:greekLit:tlg0057.tlg053,5808
urn:cts:greekLit:tlg0057.tlg054,4224
urn:cts:greekLit:tlg0057.tlg055,3160
urn:cts:greekLit:tlg0057.tlg056,11199
urn:cts:greekLit:tlg0057.tlg057,12672
urn:cts:greekLit:tlg0057.tlg058,5983
urn:cts:greekLit:tlg0057.tlg059,11108
urn:cts:greekLit:tlg0057.tlg060,9035
urn:cts:greekLit:tlg0057.tlg061,8701
urn:cts:greekLit:tlg0057.tlg062,10782
urn:cts:greekLit:tlg0057.tlg063,15627
urn:cts:greekLit:tlg0057.tlg064,13963
urn:cts:greekLit:tlg0057.tlg065,11534
urn:cts:greekLit:tlg0057.tlg066,12585
urn:cts:greekLit:tlg0057.tlg067,11799
urn:cts:greekLit:tlg0057.tlg068,5977
urn:cts:greekLit:tlg0057.tlg069,9052
urn:cts:greekLit:tlg0057.tlg070,10067
urn:cts:greekLit:tlg0057.tlg071,703
urn:cts:greekLit:tlg0057.tlg072,2975
urn:cts:greekLit:tlg0057.tlg073,1997
urn:cts:greekLit:tlg0057.tlg074,3221
urn:cts:greekLit:tlg0057.tlg075,13632
urn:cts:greekLit:tlg0057.tlg076,17445
urn:cts:greekLit:tlg0057.tlg077,17128
urn:cts:greekLit:tlg0057.tlg078,14288
urn:cts:greekLit:tlg0057.tlg079,13028
urn:cts:greekLit:tlg0057.tlg081,8484
urn:cts:greekLit:tlg0057.tlg082,2528
urn:cts:greekLit:tlg0057.tlg083,11033
urn:cts:greekLit:tlg0057.tlg084,1370
urn:cts:greekLit:tlg0057.tlg085,15238
urn:cts:greekLit:tlg0057.tlg086,6595
urn:cts:greekLit:tlg0057.tlg087,24270
urn:cts:greekLit:tlg0057.tlg089,75566
urn:cts:greekLit:tlg0057.tlg092,16246
urn:cts:greekLit:tlg0057.tlg093,7444
urn:cts:greekLit:tlg0057.tlg094,7612
urn:cts:greekLit:tlg0057.tlg095,23394
urn:cts:greekLit:tlg0057.tlg096,9775
urn:cts:greekLit:tlg0057.tlg099,15740
urn:cts:greekLit:tlg0057.tlg100,15087
urn:cts:greekLit:tlg0057.tlg101,14915
urn:cts:greekLit:tlg0057.tlg102,14742
urn:cts:greekLit:tlg0057.tlg103,4013
urn:cts:greekLit:tlg0057.tlg107,1006
urn:cts:greekLit:tlg0057.tlg114,674
urn:cts:greekLit:tlg0058.tlg001,1605
urn:cts:greekLit:tlg0059.tlg001,5394
urn:cts:greekLit:tlg0059.tlg002,8659
urn:cts:greekLit:tlg0059.tlg003,4261
urn:cts:greekLit:tlg0059.tlg004,22484
urn:cts:greekLit:tlg0059.tlg005,18977
urn:cts:greekLit:tlg0059.tlg006,23526
urn:cts:greekLit:tlg0059.tlg007,17203
urn:cts:greekLit:tlg0059.tlg008,18311
urn:cts:greekLit:tlg0059.tlg009,14172
urn:cts:greekLit:tlg0059.tlg010,18837
urn:cts:greekLit:tlg0059.tlg011,17307
urn:cts:greekLit:tlg0059.tlg012,16970
urn:cts:greekLit:tlg0059.tlg013,11171
